all_authors.0.author_name,all_authors.1.author_name,abstract,updated_at,sources.0.name,authors_count,id,publication_date_epoch,title,pages,issue,agg_sources.0.name,agg_categories.0.slug,agg_categories.0.name,journal.issn,journal.slug,journal.iso_abbreviation,journal.title,updated_at_epoch,volume,authors.0.position,authors.0.author_name,authors.1.position,authors.1.author_name,publication_date,created_at_epoch,slug,categories.0.slug,categories.0.name,publication_identifiers.0.identifier.resolution_prefix,publication_identifiers.0.identifier.name,publication_identifiers.0.identifier.description,publication_identifiers.0.value,publication_identifiers.1.identifier.resolution_prefix,publication_identifiers.1.identifier.name,publication_identifiers.1.identifier.description,publication_identifiers.1.value,created_at,agg_categories.1.slug,agg_categories.1.name,agg_categories.2.slug,agg_categories.2.name,categories.1.slug,categories.1.name,categories.2.slug,categories.2.name,all_authors.2.author_name,all_authors.3.author_name,all_authors.4.author_name,organisations.0.category,organisations.0.country.region,organisations.0.country.alpha_2,organisations.0.country.name,organisations.0.alt_names.0.name,organisations.0.alt_names.1.name,organisations.0.alt_names.2.name,organisations.0.slug,organisations.0.name,journal.ranking_h_index,journal.ranking_scimago,agg_organisations.0.category,agg_organisations.0.country.region,agg_organisations.0.country.alpha_2,agg_organisations.0.country.name,agg_organisations.0.alt_names.0.name,agg_organisations.0.alt_names.1.name,agg_organisations.0.alt_names.2.name,agg_organisations.0.slug,agg_organisations.0.name,authors.2.position,authors.2.author_name,authors.3.position,authors.3.author_name,authors.4.researcher.profile_visible,authors.4.researcher.id,authors.4.researcher.full_name,authors.4.researcher.slug,authors.4.position,authors.4.slug,authors.4.author_name,researchers.0.profile_visible,researchers.0.id,researchers.0.full_name,researchers.0.slug,publication_identifiers.2.identifier.resolution_prefix,publication_identifiers.2.identifier.name,publication_identifiers.2.identifier.description,publication_identifiers.2.value,organisations.0.alt_names.3.name,agg_organisations.0.alt_names.3.name,authors.0.researcher.profile_visible,authors.0.researcher.id,authors.0.researcher.full_name,authors.0.researcher.slug,authors.0.slug,all_authors.5.author_name,all_authors.6.author_name,organisations.0.alt_names.4.name,agg_organisations.0.alt_names.4.name,authors.5.position,authors.5.author_name,authors.6.position,authors.6.author_name,all_authors.7.author_name,all_authors.8.author_name,all_authors.9.author_name,all_authors.10.author_name,all_authors.11.author_name,all_authors.12.author_name,all_authors.13.author_name,agg_research_groups.0.country.name,agg_research_groups.0.slug,agg_research_groups.0.name,agg_research_groups.1.country.name,agg_research_groups.1.slug,agg_research_groups.1.name,research_groups.0.slug,research_groups.0.name,research_groups.1.slug,research_groups.1.name,authors.1.researcher.profile_visible,authors.1.researcher.id,authors.1.researcher.full_name,authors.1.researcher.slug,authors.1.slug,authors.7.position,authors.7.author_name,authors.8.position,authors.8.author_name,authors.9.position,authors.9.author_name,researchers.1.profile_visible,researchers.1.id,researchers.1.full_name,researchers.1.slug,authors.3.researcher.profile_visible,authors.3.researcher.id,authors.3.researcher.full_name,authors.3.researcher.slug,authors.3.slug,keywords.0.keyword,keywords.1.keyword,keywords.2.keyword,keywords.3.keyword,keywords.4.keyword,keywords.5.keyword,agg_keywords.0.slug,agg_keywords.0.keyword,agg_keywords.1.slug,agg_keywords.1.keyword,agg_keywords.2.slug,agg_keywords.2.keyword,agg_keywords.3.slug,agg_keywords.3.keyword,agg_keywords.4.slug,agg_keywords.4.keyword,agg_keywords.5.slug,agg_keywords.5.keyword,agg_categories.3.slug,agg_categories.3.name,categories.3.slug,categories.3.name,authors.2.researcher.profile_visible,authors.2.researcher.id,authors.2.researcher.full_name,authors.2.researcher.slug,authors.2.slug,organisations.0.alt_names.5.name,organisations.0.alt_names.6.name,agg_organisations.0.alt_names.5.name,agg_organisations.0.alt_names.6.name,agg_categories.4.slug,agg_categories.4.name,categories.4.slug,categories.4.name,keywords.6.keyword,keywords.7.keyword,keywords.8.keyword,agg_keywords.6.slug,agg_keywords.6.keyword,agg_keywords.7.slug,agg_keywords.7.keyword,agg_keywords.8.slug,agg_keywords.8.keyword,all_authors.14.author_name,all_authors.15.author_name,all_authors.16.author_name,authors.7.researcher.profile_visible,authors.7.researcher.id,authors.7.researcher.full_name,authors.7.researcher.slug,authors.7.slug,authors.9.researcher.profile_visible,authors.9.researcher.id,authors.9.researcher.full_name,authors.9.researcher.slug,authors.9.slug,researchers.2.profile_visible,researchers.2.id,researchers.2.full_name,researchers.2.slug,researchers.3.profile_visible,researchers.3.id,researchers.3.full_name,researchers.3.slug,organisations.0.alt_names.7.name,organisations.0.alt_names.8.name,organisations.0.alt_names.9.name,organisations.0.alt_names.10.name,organisations.0.alt_names.11.name,agg_organisations.0.alt_names.7.name,agg_organisations.0.alt_names.8.name,agg_organisations.0.alt_names.9.name,agg_organisations.0.alt_names.10.name,agg_organisations.0.alt_names.11.name,authors.5.researcher.profile_visible,authors.5.researcher.id,authors.5.researcher.full_name,authors.5.researcher.slug,authors.5.slug,authors.8.researcher.profile_visible,authors.8.researcher.id,authors.8.researcher.full_name,authors.8.researcher.slug,authors.8.slug,publication_identifiers.3.identifier.resolution_prefix,publication_identifiers.3.identifier.name,publication_identifiers.3.identifier.description,publication_identifiers.3.value,organisations.1.category,organisations.1.country.region,organisations.1.country.alpha_2,organisations.1.country.name,organisations.1.alt_names.0.name,organisations.1.alt_names.1.name,organisations.1.alt_names.2.name,organisations.1.alt_names.3.name,organisations.1.slug,organisations.1.name,sources.1.name,keywords.9.keyword,keywords.10.keyword,keywords.11.keyword,keywords.12.keyword,keywords.13.keyword,agg_keywords.9.slug,agg_keywords.9.keyword,agg_keywords.10.slug,agg_keywords.10.keyword,agg_keywords.11.slug,agg_keywords.11.keyword,agg_keywords.12.slug,agg_keywords.12.keyword,agg_keywords.13.slug,agg_keywords.13.keyword,agg_sources.1.name,agg_organisations.1.category,agg_organisations.1.country.region,agg_organisations.1.country.alpha_2,agg_organisations.1.country.name,agg_organisations.1.alt_names.0.name,agg_organisations.1.alt_names.1.name,agg_organisations.1.alt_names.2.name,agg_organisations.1.alt_names.3.name,agg_organisations.1.slug,agg_organisations.1.name,publication_identifiers.4.identifier.name,publication_identifiers.4.value,publication_identifiers.5.identifier.name,publication_identifiers.5.identifier.description,publication_identifiers.5.value
B A Moussa,N M El Kousy,Two convenient spectrophotometric methods were developed for the determination of hydrochlorothiazide and spironolactone. A specific colour reaction for the determination of hydrochlorothiazide is reported. One method is based on the reaction of hydrochlorothiazide with n-butylamine and cobaltous chloride in anhydrous methanol. A blue-violet colour is produced and is measured at 570 nm. A highly selective colorimetric method was adopted for the analysis of spironolactone by reacting with isoniazid forming a coloured hydrazone derivative and subsequent measurement of the coloured product at 405 nm.,2020-04-30T19:30:20.367892,pubmed,2,29626877,483321600,Colorimetric Analysis of some Diuretic Drugs: Hydrochlorothiazide and Spironolactone,79-82,2,pubmed,journal-article,journal article,0167-6555,pharmaceutisch-weekblad-scientific-edition,Pharm Weekbl Sci,Pharmaceutisch Weekblad. Scientific Edition,1588275020,7,1,B A Moussa,2,N M El Kousy,1985-04-26T00:00:00,1588275020,colorimetric-analysis-of-some-diuretic-drugs-hydrochlorothiazide-and-spironolactone,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1007/bf02106133,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,4000904,2020-04-30T19:30:20.367892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z Piela,M Kieć-Swierczyńska,"Patch tests with serial dilutions of nickel sulphate, potassium dichromate and cobalt chloride in petrolatum were performed on 124 nickel-sensitive, 64 chromium-sensitive, and 72 cobalt-sensitive subjects. The lowest eliciting patch test concentrations were as follows: nickel sulphate--0.005, potassium dichromate--0.0025, and cobalt chloride--0.005.",2020-05-01T02:25:51.569385,pubmed,2,34978956,883612800,"Skin Reactivity in Subjects Sensitive to Different Concentrations of Nickel, Chromium and Cobalt",457-63,5,pubmed,journal-article,journal article,,medycyna-pracy,Med Pr,Medycyna Pracy,1588299951,49,1,Z Piela,2,M Kieć-Swierczyńska,1998-01-01T00:00:00,1588299951,skin-reactivity-in-subjects-sensitive-to-different-concentrations-of-nickel-chromium-and-cobalt,journal-article,journal article,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,9919605,,,,,2020-05-01T02:25:51.569385,english-abstract,english abstract,research-support-nonus-govt,research support nonus govt,english-abstract,english abstract,research-support-nonus-govt,research support nonus govt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian-Hua Zhang,Kin Man Ho,"Air-stable magnetic cobalt nanocrystals have been conveniently prepared via a reverse micellar synthesis, followed by a hydrothermal treatment. The synthesis was carried out by first mixing an aqueous solution containing cobalt chloride and poly(sodium 4-styrenesulfonate) (PSS) with an organic mixture containing cetyltrimethylammonium bromide (CTAB) to form reverse micelles, followed by reducing cobalt ions with sodium borohydride. The resultant nanoparticles were then undergone a hydrothermal treatment at 165 degrees C for 8 h to generate well-dispersed CTAB/PSS-encapsulated cobalt nanocrystals with an average diameter of 3.5 +/- 0.5 nm. The nanoparticles were highly crystalline with a hexagonal close-packed crystal phase. The presence of CTAB/PSS complex coatings was identified by FT-IR and UV-vis spectroscopies as well as thermogravimetry analyses. The nanocrystals exhibited superparamagnetic property at room temperature with a saturation magnetization (M(s)) of 95 emu/g. The magnetization could be largely preserved after storage at room temperature for 4 months as the M(s) value only slightly decreased to 88 emu/g (measured at 300 K). Thus, the polymer encapsulation could not only improve thermal stability of the micelles for the growth and nucleation of Co atoms but also protect the resulting cobalt nanocrystals from oxidation through forming an oxygen impermeable sheath.",2020-05-02T02:12:46.588233,pubmed,5,44822823,1271721600,Hydrothermal Microemulsion Synthesis of Oxidatively Stable Cobalt Nanocrystals Encapsulated in Surfactant/Polymer Complex Shells,6009-14,8,pubmed,journal-article,journal article,0743-7463,langmuir-the-acs-journal-of-surfaces-and-colloids,Langmuir,Langmuir : the Acs Journal of Surfaces and Colloids,1588385566,26,1,Xian-Hua Zhang,2,Kin Man Ho,2010-04-20T00:00:00,1588385566,hydrothermal-microemulsion-synthesis-of-oxidatively-stable-cobalt-nanocrystals-encapsulated-in-surfactant-polymer-complex-shells,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1021/la9045918,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,20337480,2020-05-02T02:12:46.588233,research-support-nonus-govt,research support nonus govt,,,research-support-nonus-govt,research support nonus govt,,,Ai-Hua Wu,Kin Hung Wong,Pei Li,academic,Asia,HK,Hong Kong,Hkpu,Hk Polyu,Xianggang Ligong Daxue,the-hong-kong-polytechnic-university,The Hong Kong Polytechnic University,300,1.209,academic,Asia,HK,Hong Kong,Hkpu,Hk Polyu,Xianggang Ligong Daxue,the-hong-kong-polytechnic-university,The Hong Kong Polytechnic University,3,Ai-Hua Wu,4,Kin Hung Wong,TRUE,4269833,Pei Li,pei-li-d595e7c20a494704859f6bfc7c12edf9,5,pei-li-d595e7c20a494704859f6bfc7c12edf9,Pei Li,TRUE,4269833,Pei Li,pei-li-d595e7c20a494704859f6bfc7c12edf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R De Boer,K Kuller,"House-dust mites are a major source of allergens. Beds are often heavily infested. It is conceivable that, during the winter period in temperate climates, the ambient indoor air is too dry for their survival, but that mites can still survive in beds where the humidity is raised when the bed is occupied. To investigate whether house-dust mites can take advantage of daily episodes with elevated humidity to restore water balance, we exposed mites to spells of high humidity (90% relative humidity [RH]), lasting 0, 1.5, 3, 6, or 12 h, once every day, while the humidity was low (10% RH) during the rest of the time. Survival was markedly promoted when only 1.5 h of moist air per day was given. Three hours of moist air per day allowed the mites to reproduce. The same average humidity but at a constant level would have been lethal to the mites. Thus, average humidity can be misleading as an indicator of mite survival conditions. Measurements of relative humidity were made inside the foam core of a mattress and underneath the ticking. The rise of humidity occurring when the bed was occupied was often insufficient for the mites, because the temperature rose at the same time. At higher temperatures, mites required a higher relative humidity, abolishing the effect of the simultaneous rise in absolute humidity. Thus, it seems quite possible to regulate house-dust mite numbers also in beds by reducing the water content of the ambient air. The rules governing changes in temperature and humidity inside a bed may be simple enough to allow assessment of house-dust mite living conditions by measurements in the ambient air.",2020-05-01T00:17:19.480915,pubmed,2,34059245,857174400,Mattresses as a Winter Refuge for House-Dust Mite Populations,299-305,3,pubmed,journal-article,journal article,0105-4538,allergy,Allergy,Allergy,1588292239,52,1,R De Boer,2,K Kuller,1997-03-01T00:00:00,1588292239,mattresses-as-a-winter-refuge-for-house-dust-mite-populations,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1111/j.1398-9995.1997.tb00994.x,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,9140520,2020-05-01T00:17:19.480915,research-support-nonus-govt,research support nonus govt,,,research-support-nonus-govt,research support nonus govt,,,,,,academic,Europe,NL,Netherlands,University of Amsterdam,Uva,,universiteit-van-amsterdam,Universiteit Van Amsterdam,156,2.459,academic,Europe,NL,Netherlands,University of Amsterdam,Uva,,universiteit-van-amsterdam,Universiteit Van Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A E Hall,M R Kaufmann,"Leaf resistance of Sesamum indicum L. increased when the humidity gradient between leaf and air was increased, at moderate temperatures, even though calculated carbon dioxide concentrations within the leaf decreased slightly. Mesophyll resistance remained relatively constant when humidity gradients were changed, indicating that the increases in leaf resistance were mainly caused by reductions in stomatal aperture and that nonstomatal aspects of photosynthesis and respiration were not affected. Low carbon dioxide concentrations inside the leaf decreased but did not eliminate resistance response to the humidity gradient. Internal carbon dioxide concentrations had little effect on resistance in humid air but had moderate effects on resistance with large humidity gradients between leaf and air. Stomatal response to humidity was not present at high leaf temperatures. Effects of humidity gradients on photosynthetic and stomatal responses to temperature suggested that large humidity gradients may contribute to mid-day closure of stomata and depressions in photosynthesis.",2020-05-01T17:18:38.825828,pubmed,2,41291572,162864000,Stomatal Response to Environment with Sesamum Indicum. L,455-9,3,pubmed,journal-article,journal article,0032-0889,plant-physiology,Plant Physiol.,Plant Physiology,1588353518,55,1,A E Hall,2,M R Kaufmann,1975-03-01T00:00:00,1588353518,stomatal-response-to-environment-with-sesamum-indicum-l,journal-article,journal article,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,16659101,https://doi.org/,doi,doi: Digital object identifier,10.1104/pp.55.3.455,2020-05-01T17:18:38.825828,,,,,,,,,,,,,,,,,,,,,276,3.71,,,,,,,,,,,,,,,,,,,,,,,,,http://europepmc.org/articles/,pmc,pmc: PubMed Central article number,PMC541637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V V Makarov,,,2020-04-30T19:31:43.536450,pubmed,1,29669337,,Humidity Regulator for Air Conditioners,120,2,pubmed,journal-article,journal article,,biomedical-engineering,Biomed Eng,Biomedical Engineering,1588275103,7,1,V V Makarov,,,,1588275103,humidity-regulator-for-air-conditioners,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1007/bf00561698,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,4746668,2020-04-30T19:31:43.536450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I M Kolthoff,K Yamashita,"Conditions are described under which the catalytic Brdicka currents observed in ammoniacal buffer solutions containing cobalt(III) hexammine chloride or cobalt(II) and very little bovine-serum albumin (0.1-0.2 muM) are purely kinetically controlled. Under these conditions the kinetic current at pH 9.3-10.3 exhibits a sharp maximum followed by a decrease of the current to a well-defined minimum. The maximum and minimum are eliminated in the presence of 5 mM or more concentrated calcium chloride when a short plateau occurs at the potential of the maximum followed by a well-defined second wave. Both currents are kinetically controlled. When the albumin concentration is 2 muM or greater, the kinetic currents approach diffusion control, the rate of diffusion of cobalt(III) or (II) being close to rate determining. Under these conditions the currents become proportional to the cobalt(III) or (II) concentration in the concentration range between 25 and 200 muM.",2020-05-01T17:24:22.148469,pubmed,4,41453824,110332800,Characteristics of Polarographic Catalytic Waves Observed with Bovine-Serum Albumin: Kinetic or Diffusion Control,2020-4,7,pubmed,journal-article,journal article,0027-8424,proceedings-of-the-national-academy-of-sciences-of-the-united-states-of-america,Proc. Natl. Acad. Sci. U.S.A.,Proceedings of the National Academy of Sciences of the United States of America,1588353862,70,1,I M Kolthoff,2,K Yamashita,1973-07-01T00:00:00,1588353862,characteristics-of-polarographic-catalytic-waves-observed-with-bovine-serum-albumin-kinetic-or-diffusion-control,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1073/pnas.70.7.2020,http://europepmc.org/articles/,pmc,pmc: PubMed Central article number,PMC433656,2020-05-01T17:24:22.148469,,,,,,,,,T B Hie,A Kanbe,,academic,Americas,US,United States,University of Minnesota Twin Cities,,,university-of-minnesota,University of Minnesota,699,5.601,academic,Americas,US,United States,University of Minnesota Twin Cities,,,university-of-minnesota,University of Minnesota,3,T B Hie,4,A Kanbe,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,16592099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J C Alberdi,J Díaz,"Daily mortality displays a seasonal pattern linked to weather, air pollution, photoperiod length, influenza incidence and diet, among which temperature ranks as a leading cause. This study thus sought to assess the relationship between temperature, relative humidity, wind speed and mortality in the Madrid Autonomous Region (Spain) for the period January 1986-December 1992, controlling for the effects of air pollution and influenza incidence. Daily data on maximum, minimum and 24-hour mean temperature, relative humidity and wind speed were matched against daily mortality. Transfer function was identified using the Box-Jenkins pre-whitening method. Multivariate time series regression models were used to control for the confounding effects of air pollution and influenza incidence. Separate seasonal analyses were carried out for winter and summer periods. A J-shaped relationship between outdoor temperature, relative humidity and daily mortality was found. Mortality proved to be inversely related to cold temperature (4- to 11-day lag) and directly related to warm temperature (1-day lag). High relative humidity during summer periods was negatively related to mortality. Thermal variation ascribable to Madrid's mesothermal Mediterranean climate was strongly related to daily mortality, even where air pollution and influenza incidence were controlled for.",2020-05-01T02:16:47.545708,pubmed,4,34914453,904608000,Daily Mortality in Madrid Community 1986-1992: Relationship with Meteorological Variables,571-8,6,pubmed,journal-article,journal article,0393-2990,european-journal-of-epidemiology,Eur. J. Epidemiol.,European Journal of Epidemiology,1588299407,14,1,J C Alberdi,2,J Díaz,1998-09-01T00:00:00,1588299407,daily-mortality-in-madrid-community-1986-1992-relationship-with-meteorological-variables,journal-article,journal article,https://doi.org/,doi,doi: Digital object identifier,10.1023/a:1007498305075,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,9794124,2020-05-01T02:16:47.545708,research-support-nonus-govt,research support nonus govt,,,research-support-nonus-govt,research support nonus govt,,,J C Montero,I Mirón,,,,,,,,,,,96,3.22,,,,,,,,,,3,J C Montero,4,I Mirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E Goldwasser,P Alibali,"Diphenylene iodonium chloride suppresses the cobaltous chloride-induced expression of erythropoietin by Hep3B cells to about 50% at a concentration of 30 nM. At that concentration, it has no effect on the response to low oxygen. The related compound iodonium diphenyl chloride acts similarly but is a much less effective inhibitor. If, as reported, diphenylene iodonium chloride is a specific inhibitor of cytochrome b, it follows that the response to CoCl2 is dependent on that enzyme but the response to hypoxia is not.",2020-04-30T23:14:19.463588,pubmed,3,33586819,792374400,Differential Inhibition by Iodonium Compounds of Induced Erythropoietin Expression,2628-9,6,pubmed,journal-article,journal article,0021-9258,the-journal-of-biological-chemistry,J. Biol. Chem.,The Journal of Biological Chemistry,1588288459,270,1,E Goldwasser,2,P Alibali,1995-02-10T00:00:00,1588288459,differential-inhibition-by-iodonium-compounds-of-induced-erythropoietin-expression,journal-article,journal article,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,7852328,https://doi.org/,doi,doi: Digital object identifier,10.1074/jbc.270.6.2628,2020-04-30T23:14:19.463588,research-support-us-govt-phs,research support us govt phs,,,research-support-us-govt-phs,research support us govt phs,,,A Gardner,,,academic,Americas,US,United States,,,,university-of-chicago,University of Chicago,477,2.403,academic,Americas,US,United States,,,,university-of-chicago,University of Chicago,3,A Gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C W Miller,T M Shafik,"The insecticide propoxur was applied as 2 non-overlapping bands approximately 1 m wide to the interior of houses in El Salvador once every 35 days for a period of 9 months. Air samples were collected from the interior of the houses once every seventh day during the entire period. In the study area, air temperatures remain relatively constant, while rainfall varies seasonally. It was found that volatilization of propoxur, as determined by the amounts detectable in air, represented release of the chemical from the treated surface and that the volatilization process was most influenced by the amount of moisture present in the air. Higher air concentrations of propoxur occurred during periods of high relative humidity than in periods of low relative humidity. The principles involved in this process and its bearing on the value of propoxur in malaria control programmes are discussed.",2020-04-30T19:43:56.875669,pubmed,2,30054969,126230400,Concentrations of Propoxur in Air Following Repeated Indoor Applications,41-4,1,pubmed,journal-article,journal article,0042-9686,bulletin-of-the-world-health-organization,Bull. World Health Organ.,Bulletin of the World Health Organization,1588275836,51,1,C W Miller,2,T M Shafik,1974-01-01T00:00:00,1588275836,concentrations-of-propoxur-in-air-following-repeated-indoor-applications,journal-article,journal article,http://www.ncbi.nlm.nih.gov/pubmed/,pmid,pmid: PubMed Unique Identifier,4549040,http://europepmc.org/articles/,pmc,pmc: PubMed Central article number,PMC2366255,2020-04-30T19:43:56.875669,,,,,,,,,,,,,,,,,,,,,148,2.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
